year,page,code,name,opening,received,total,transferred,fa_received,fa_disposed,replied,rejected,disciplinary,fee_rs,charges_rs,penalty_rs,amount_total_rs,capios,cpios,faas,officers_total
2020-21,204,61.111,Directorate of Prosecution Delhi,0,118,118,15,15,15,,2,0,430,0,0,430,0,0,0,0
2020-21,204,61.112,Directorate of Small Savings and Lotteries,0,4,4,0,0,0,,0,0,20,0,0,20,1,1,1,3
2020-21,204,61.113,Directorate of Training UTCS,0,5,5,0,1,1,,0,0,0,0,0,0,0,0,0,0
2020-21,204,61.114,Directorate of Vigilance and Anti Corruption,16,440,456,99,79,7,,16,0,2790,2633,2264,7687,0,8,1,9
2020-21,205,61.115,Dr. B.R. Sur Homoeopathic Medical College and Hospital,51,26,77,0,0,0,,1,0,180,8,0,188,0,0,0,0
2020-21,205,61.116,Dr. Baba Saheb Ambedkar Hospital,116,151,267,3,1,0,,1,0,1320,66,0,1386,1,1,0,2
2020-21,205,61.117,Dr. Hedgewar Arogya Sansthan,0,99,99,0,2,1,,0,0,990,0,0,990,1,1,1,3
2020-21,205,61.118,Dr. N.C. Joshi Memorial Hospital,0,12,12,3,0,0,,0,0,100,0,0,100,0,0,0,0
2020-21,205,61.119,Dte. of Economics and Statistics,4,55,59,13,4,4,,0,0,30,0,0,30,0,0,0,0
2020-21,205,61.120,East Delhi Municipal Corporation Engineering Deptt,1081,748,1829,206,0,0,,0,0,0,0,0,0,0,0,0,0
2020-21,205,61.121,East Delhi Municipal Corporation HQ,5424,2011,7435,7435,0,0,,0,0,6310,0,0,6310,0,0,0,0
2020-21,205,61.122,Excise Entertainment and Luxury Tax,0,154,154,0,25,23,,0,0,0,0,0,0,0,0,0,0
2020-21,205,61.123,G.B. Pant Hospital,105,98,203,18,1,1,,0,0,460,0,0,460,0,1,0,1
2020-21,205,61.124,General Administration Department,2,353,355,94,31,23,,4,0,1090,0,0,1090,1,1,0,2
2020-21,205,61.125,Guru Gobind Singh Government Hospital,0,43,43,0,2,2,,0,0,145,0,0,145,1,1,1,3
2020-21,205,61.126,Guru Gobind Singh Indraprastha University,17,612,629,22,109,109,,5,0,1450,296,0,1746,0,1,0,1
2020-21,205,61.127,Guru Nanak Eye Centre,2,17,19,0,1,1,,1,0,80,0,0,80,0,1,1,2
2020-21,205,61.128,Health and Family Welfare Department,272,2700,2972,1938,99,84,,0,0,13080,1056,0,14136,0,8,1,9
2020-21,205,61.129,Hindi Academy Delhi,2,14,16,0,0,0,,0,0,40,0,0,40,0,0,0,0
2020-21,206,61.130,Home Department GNCTD,0,353,353,277,6,6,,0,0,830,2592,0,3422,7,4,3,14
2020-21,206,61.131,Institute of Human Behaviour and Allied Sciences,3,116,119,1,29,28,,13,0,900,0,0,900,0,1,0,1
2020-21,206,61.132,Irrigation and Flood Control Department,340,1262,1602,30,229,213,,0,0,2426,20969,0,23395,0,26,5,31
2020-21,206,61.133,Jag Pravesh Chandra Hospital,1,56,57,0,3,3,,0,0,210,0,0,210,1,1,1,3
2020-21,206,61.134,Labour Department Delhi,267,1151,1418,148,172,144,,0,0,2540,885,0,3425,0,18,13,31
2020-21,206,61.135,Lal Bahadur Shastri Hospital,5,61,66,1,4,1,,0,0,160,34,0,194,0,0,0,0
2020-21,206,61.136,Land and Building Department,25,600,625,177,107,102,,0,0,3835,3904,0,7739,1,1,1,3
2020-21,206,61.137,Lok Nayak Hospital,0,448,448,12,18,12,,25,0,2585,6045,0,8630,0,1,1,2
2020-21,206,61.138,Lt. Governors Secretariat,11,1366,1377,631,185,14,,0,0,10440,180,0,10620,1,1,1,3
2020-21,206,61.139,Maharaja Agrasen College Delhi,51,37,88,0,2,2,,0,0,180,0,0,180,0,0,0,0
2020-21,206,61.140,Maharishi Valmiki Hospital,0,32,32,0,1,1,,0,0,70,0,0,70,0,0,0,0
2020-21,206,61.141,Maharshi Valmiki College of Education,0,2,2,1,0,0,,0,0,0,0,0,0,0,0,0,0
2020-21,206,61.142,Maulana Azad Institute of Dental Sciences,1,28,29,0,2,2,,0,0,220,0,0,220,0,0,0,0
2020-21,206,61.143,NCC Department,0,8,8,4,1,0,,0,0,0,0,0,0,0,3,1,4
2020-21,207,61.144,Nehru Homoeopathic Medical College and Hospital,9,23,32,0,1,1,,0,0,70,60,0,130,0,0,0,0
2020-21,207,61.145,Netaji Subhas Institute of Technology,263,111,374,0,0,0,,0,0,820,294,0,1114,0,0,0,0
2020-21,207,61.146,Principal Account Office,4,213,217,38,29,26,,0,0,1490,1520,0,3010,0,0,0,0
2020-21,207,61.147,Pt Madan Mohan Malviya Hospital,2,11,13,2,5,0,,0,0,100,0,0,100,1,1,1,3
2020-21,207,61.148,Public Grievance Commission,20,205,225,92,25,24,,0,0,1040,580,0,1620,1,1,1,3
2020-21,207,61.149,Public Works Department Delhi,8,227,235,0,26,26,,0,0,280,2580,0,2860,4,4,4,12
2020-21,207,61.150,Punjabi Academy Delhi,0,10,10,0,0,0,,0,0,50,30,0,80,0,0,0,0
2020-21,207,61.151,Rajya Sainik Board Delhi,0,29,29,6,0,0,,0,0,140,0,0,140,0,1,1,2
2020-21,207,61.152,Rao Tula Ram Memorial Hospital,1,39,40,0,6,4,,0,0,310,1972,0,2282,0,0,0,0
2020-21,207,61.153,Registrar Chit Fund,0,11,11,1,2,2,,0,0,100,0,0,100,0,0,0,0
2020-21,207,61.154,Revenue Department,0,9276,9276,9276,679,679,,0,0,45595,0,0,45595,0,0,0,0
2020-21,207,61.155,Sahitya Kala Parishad,0,13,13,0,0,0,,0,0,70,0,0,70,1,1,1,3
2020-21,207,61.156,Samajik Suvidha Sangam,0,6,6,0,0,0,,0,0,0,0,0,0,0,0,0,0
2020-21,207,61.157,Sanjay Gandhi Memorial Hospital,11,102,113,2,7,0,,18,0,370,0,0,370,1,1,1,3
2020-21,207,61.158,Sardar Vallabh Bhai Patel Hospital,3,29,32,0,2,2,,0,0,90,0,0,90,1,1,1,3
2020-21,208,61.159,Satyawadi Raja Harishchandra Hospital,0,36,36,0,1,1,,1,0,110,806,0,916,1,1,1,3
2020-21,208,61.160,Services Department,19,733,752,341,69,5,,195,0,790,430,0,1220,8,3,1,12
2020-21,208,61.161,Shaheed Rajguru College of Applied Sciences for Women,0,34,34,0,7,0,,0,0,0,0,0,0,0,0,0,0
2020-21,208,61.162,Shaheed Sukhdev College of Business Studies,0,12,12,0,0,0,,0,0,0,0,0,0,0,0,0,0
2020-21,208,61.163,Sindhi Academy,0,6,6,0,0,0,,0,0,20,0,0,20,1,1,1,3
2020-21,208,61.164,State Election Commission Delhi,0,131,131,22,3,3,,0,0,450,328,0,778,0,1,1,2
2020-21,208,61.165,Tourism Department Delhi,0,30,30,15,0,0,,0,0,100,0,0,100,0,0,0,0
2020-21,208,61.166,Transport Department Delhi,125,922,1047,0,102,0,,0,0,8670,1830,0,10500,1,34,15,50
2020-21,208,61.167,North Delhi Municipal Corporation Engineering Deptt,69,691,760,327,20,20,,0,0,585,1434,0,2019,0,0,0,0
2020-21,208,61.168,Ambedkar Institute of Technology,371,36,407,0,0,0,,0,0,0,0,0,0,1,1,1,3
2020-21,208,61.169,Ambedkar Institute of Advance Communication Technologies and Research,0,41,41,2,0,0,,0,0,360,0,0,360,0,1,1,2
2020-21,208,61.170,Kasturba Institute of Technology,340,7,347,0,8,0,,0,0,10,4,0,14,1,1,1,3
2020-21,208,61.171,Bhai Parmanand Institute of Business Studies,3,2,5,0,0,0,,0,0,0,0,0,0,0,0,0,0
2020-21,208,61.172,Delhi Dialogue & Development Commission,3,4,7,4,2,2,,0,0,0,0,0,0,0,1,1,2
2020-21,209,61.173,Deputy Apprenticeship Advisor,0,0,0,0,0,0,,0,0,0,0,0,0,0,1,1,2
2020-21,209,61.174,DFC (New Delhi & Chandigarh),1,8,9,0,0,0,,0,0,60,244,0,304,1,1,1,3
2020-21,209,61.175,Forensic Science Laboratory,30,129,159,23,13,13,,0,0,970,0,0,970,0,2,2,4
2020-21,209,61.176,G B Pant Institute of Technology,1,12,13,0,0,0,,0,0,30,0,0,30,1,1,1,3
2020-21,209,61.177,Guru Nanak Institute of Technology,0,15,15,0,2,2,,0,0,180,0,0,180,1,1,1,3
2020-21,209,61.178,Guru Teg Bahadur (GTB) Hospital,11,273,284,29,48,34,,0,0,1720,24,0,1744,0,0,0,0
2020-21,209,61.179,Indira Gandhi Delhi Technical University for Women (IGDTUW),0,33,33,0,0,0,,0,0,100,0,0,100,0,0,0,0
2020-21,209,61.180,Indraprastha Power Generation Co. Ltd. (GENCO),125,359,484,23,19,15,,2,0,3460,0,0,3460,1,3,0,4
2020-21,209,61.181,Meera Bai Institute of Technology,73,32,105,0,0,0,,0,0,10,0,0,10,1,1,1,3
2020-21,209,61.182,Office of the Minister (Sh. Rajendra Pal Gautam),0,53,53,53,0,0,,0,0,0,0,0,0,0,0,0,0
2020-21,209,61.183,Office of the Minister (Sh. Satyendar Jain),0,241,241,215,12,5,,3,0,1540,80,0,1620,0,0,0,0
2020-21,209,61.184,Pusa Institute of Technology,0,18,18,2,0,0,,0,0,0,0,0,0,0,0,0,0
2020-21,209,61.185,State Council of Educational Research and Training (SCERT),4,107,111,15,16,16,,0,0,390,30,0,420,0,0,0,0
2020-21,209,61.186,Weight & Measures Department,5,32,37,11,0,0,,0,0,70,0,0,70,0,0,0,0
2020-21,209,61.187,South Delhi Municipal Corporation Central Zone,77,2489,2566,57,229,228,,0,0,10430,222,0,10652,24,12,4,40
2020-21,210,61.188,South Delhi Municipal Corporation Education Department,0,135,135,36,14,14,,0,0,600,118,0,718,0,0,0,0
2020-21,210,61.189,South Delhi Municipal Corporation Engineering Deptt,0,571,571,461,0,0,,0,0,0,0,0,0,0,0,0,0
2020-21,210,61.190,South Delhi Municipal Corporation Finance Deptt,0,119,119,46,4,4,,1,0,100,0,0,100,0,0,0,0
2020-21,210,61.191,South Delhi Municipal Corporation Head Quarter,57,286,343,24,21,20,,1,0,1060,0,0,1060,0,0,0,0
2020-21,210,61.192,South Delhi Municipal Corporation Health Department,0,41,41,26,0,0,,0,0,60,0,0,60,0,0,0,0
2020-21,210,61.193,South Delhi Municipal Corporation Najafgarh Zone,2521,713,3234,20,0,0,,0,0,3360,2320,0,5680,0,0,0,0
2020-21,210,61.194,South Delhi Municipal Corporation West Zone,7,2006,2013,242,34,33,,0,0,18200,0,0,18200,17,1,1,19
2020-21,210,61.195,"Maithili Bhojpuri Academy, Delhi",0,6,6,0,0,0,,1,0,0,0,0,0,0,0,0,0
2020-21,210,61.196,Dr G G L S Prachya Vidya Pratishthan,0,2,2,0,0,0,,0,0,0,0,0,0,0,0,0,0
2020-21,210,61.197,Delhi Medical Council,1908,198,2106,11,21,16,,0,0,760,5148,0,5908,0,1,1,2
2020-21,210,61.198,CDMO Office (North),3,105,108,6,6,6,,0,0,30,0,0,30,1,0,0,1
2020-21,210,61.199,Keshav Mahavidyalaya,1,6,7,0,0,0,,0,0,10,0,0,10,1,1,1,3
2020-21,210,61.200,South Delhi Municipal Corporation Public Health Department,70,267,337,48,2,1,,0,0,300,0,0,300,1,1,1,3
2021-22,161,59.1,National Law University Delhi,4,55,59,0,1,1,56,0,0,190,0,0,190,0,0,0,0
2021-22,161,59.2,Bhaskaracharaya College of Applied Sciences,2,13,15,1,4,4,14,0,0,50,40,0,90,1,1,1,3
2021-22,161,59.3,Delhi State Legal Services Authority,9,511,520,26,28,28,453,7,0,590,1644,0,2234,2,13,0,15
2021-22,162,59.4,Ofifce of the Deputy Commissioner West,459,1204,1663,210,191,168,1255,0,0,2185,0,0,2185,0,0,0,0
2021-22,162,59.5,Ofifce of the Chief Electoral Ofifcer,912,980,1892,1374,56,48,490,0,0,1530,30,0,1560,82,82,12,176
2021-22,162,59.6,Ofifce of the Chief Minister Delhi,0,2413,2413,1995,251,251,322,96,0,20290,0,0,20290,1,1,1,3
2021-22,162,59.7,Ofifce of the Chief Secretary Delhi Ofifce of the Deputy Chief Minister [merged 1/2],0,26,26,54,7,2,71,0,0,0,60,0,60,0,1,1,2
2021-22,162,59.8,Ofifce of the Chief Secretary Delhi Ofifce of the Deputy Chief Minister [merged 2/2],4,398,402,281,7,6,103,0,0,2370,0,0,2370,0,1,1,2
2021-22,162,59.9,Ofifce of the Deputy Commissioner Central Ofifce of the Deputy Commissioner East [merged 1/2],0,32,32,632,8,0,0,0,0,450,0,0,450,0,0,0,0
2021-22,162,59.10,Ofifce of the Deputy Commissioner Central Ofifce of the Deputy Commissioner East [merged 2/2],7,614,621,599,69,63,0,0,0,2950,0,0,2950,0,0,0,0
2021-22,162,59.11,Ofifce of the Deputy Commissioner New Delhi,0,418,418,63,96,91,350,0,0,0,0,0,0,5,5,1,11
2021-22,162,59.12,Ofifce of the Deputy Commissioner North East,83,642,725,4,22,20,414,0,0,540,0,0,540,0,0,0,0
2021-22,162,59.13,Ofifce of the Deputy Commissioner North West,82,974,1056,425,165,104,607,0,0,2270,248,0,2518,3,5,1,9
2021-22,162,59.14,Ofifce of the Deputy Commissioner South West,769,716,1485,148,60,0,408,0,0,1165,0,0,1165,0,0,0,0
2021-22,162,59.15,Ofifce of the Lokayukta Delhi,0,30,30,3,3,3,24,0,0,180,0,0,180,0,0,0,0
2021-22,162,59.16,Ofifce of the Minister of Food and Civil Supplies,0,33,33,28,5,5,4,0,0,100,0,0,100,0,0,0,0
2021-22,162,59.17,Ofifce of the Minister of Transport Development GAD Employment and Labour,0,82,82,74,9,2,8,0,0,410,0,0,410,0,0,0,0
2021-22,162,59.18,Ofifce of the Minister of Transport Law and Election,0,231,231,184,17,17,47,0,0,935,0,0,935,0,0,0,0
2021-22,162,59.19,Dr. B.R. Ambedkar University Delhi,7,96,103,0,13,13,90,0,0,150,270,0,420,0,1,1,2
2021-22,163,59.20,Delhi Technological University Indira Gandhi Institute of Physical Edu­,4,151,155,0,20,20,148,1,0,400,0,0,400,1,1,1,3
2021-22,163,59.21,cation and Sports Sciences Food Supply and Consumers Affairs [merged 1/2],10,1717,1727,54,288,200,1183,4,0,2310,76,0,2386,0,0,1,1
2021-22,163,59.22,cation and Sports Sciences Food Supply and Consumers Affairs [merged 2/2],,,,,,,,,,,,,,,,,
2021-22,163,59.23,Drug Control Department,68,200,268,18,30,10,135,0,0,1180,330,0,1510,0,1,1,2
2021-22,163,59.24,Maulana Azad Medical College Urdu Academy Delhi [merged 1/2],66,162,228,21,10,10,183,13,0,950,126,0,1076,1,1,1,3
2021-22,163,59.25,Maulana Azad Medical College Urdu Academy Delhi [merged 2/2],0,40,40,7,0,0,20,0,0,20,55,0,57,0,0,0,0
